id,city_name,region_name
753,Поворино,Воронежская область
754,Подольск,Московская область
755,Подпорожье,Ленинградская область
756,Покачи,Ханты-Мансийский АО
757,Покров,Владимирская область
758,Покровск,Якутия
759,Полевской,Свердловская область
760,Полесск,Калининградская область
761,Полысаево,Кемеровская область
762,Полярные Зори,Мурманская область
763,Полярный,Мурманская область
764,Поронайск,Сахалинская область
765,Порхов,Псковская область
766,Похвистнево,Самарская область
767,Почеп,Брянская область
768,Починок,Смоленская область
769,Пошехонье,Ярославская область
770,Правдинск,Калининградская область
771,Приволжск,Ивановская область
772,Приморск,Калининградская область
773,Приморск,Ленинградская область
774,Приморско-Ахтарск,Краснодарский край
775,Приозерск,Ленинградская область
776,Прокопьевск,Кемеровская область
777,Пролетарск,Ростовская область
778,Протвино,Московская область
779,Прохладный,Кабардино-Балкария
780,Псков,Псковская область
781,Пугачёв,Саратовская область
782,Пудож,Карелия
783,Пустошка,Псковская область
784,Пучеж,Ивановская область
785,Пушкино,Московская область
786,Пущино,Московская область
787,Пыталово,Псковская область
788,Пыть-Ях,Ханты-Мансийский АО
789,Пятигорск,Ставропольский край
790,Радужный,Владимирская область
791,Радужный,Ханты-Мансийский АО
792,Райчихинск,Амурская область
793,Раменское,Московская область
794,Рассказово,Тамбовская область
795,Ревда,Свердловская область
796,Реж,Свердловская область
797,Реутов,Московская область
798,Ржев,Тверская область
799,Родники,Ивановская область
800,Рославль,Смоленская область
801,Россошь,Воронежская область
802,Ростов Великий,Ярославская область
803,Ростов-на-Дону,Ростовская область
804,Рошаль,Московская область
805,Ртищево,Саратовская область
806,Рубцовск,Алтайский край
807,Рудня,Смоленская область
808,Руза,Московская область
809,Рузаевка,Мордовия
810,Рыбинск,Ярославская область
811,Рыбное,Рязанская область
812,Рыльск,Курская область
813,Ряжск,Рязанская область
814,Рязань,Рязанская область
815,Салават,Башкортостан
816,Салаир,Кемеровская область
817,Салехард,Ямало-Ненецкий АО
818,Сальск,Ростовская область
819,Самара,Самарская область
820,Санкт-Петербург,Санкт-Петербург
821,Саранск,Мордовия
822,Сарапул,Удмуртия
823,Саратов,Саратовская область
824,Саров,Нижегородская область
825,Сасово,Рязанская область
826,Сатка,Челябинская область
827,Сафоново,Смоленская область
828,Саяногорск,Хакасия
829,Саянск,Иркутская область
830,Светлогорск,Калининградская область
831,Светлоград,Ставропольский край
832,Светлый,Калининградская область
833,Светогорск,Ленинградская область
834,Свирск,Иркутская область
835,Свободный,Амурская область
836,Себеж,Псковская область
837,Северо-Курильск,Сахалинская область
838,Северобайкальск,Бурятия
839,Северодвинск,Архангельская область
840,Североморск,Мурманская область
841,Североуральск,Свердловская область
842,Северск,Томская область
843,Севск,Брянская область
844,Сегежа,Карелия
845,Сельцо,Брянская область
846,Семёнов,Нижегородская область
847,Семикаракорск,Ростовская область
848,Семилуки,Воронежская область
849,Сенгилей,Ульяновская область
850,Серафимович,Волгоградская область
851,Сергач,Нижегородская область
852,Сергиев Посад,Московская область
853,Сердобск,Пензенская область
854,Серноводское,Чечня
855,Серов,Свердловская область
856,Серпухов,Московская область
857,Сертолово,Ленинградская область
858,Сибай,Башкортостан
859,Сим,Челябинская область
860,Сковородино,Амурская область
861,Скопин,Рязанская область
862,Славгород,Алтайский край
863,Славск,Калининградская область
864,Славянск-на-Кубани,Краснодарский край
865,Сланцы,Ленинградская область
866,Слободской,Кировская область
867,Слюдянка,Иркутская область
868,Смоленск,Смоленская область
869,Снежинск,Челябинская область
870,Снежногорск,Мурманская область
871,Собинка,Владимирская область
872,Советск,Калининградская область
873,Советск,Кировская область
874,Советск,Тульская область
875,Советская Гавань,Хабаровский край
876,Советский,Ханты-Мансийский АО
877,Сокол,Вологодская область
878,Солигалич,Костромская область
879,Соликамск,Пермский край
880,Солнечногорск,Московская область
881,Соль-Илецк,Оренбургская область
882,Сольвычегодск,Архангельская область
883,Сольцы,Новгородская область
884,Сорочинск,Оренбургская область
885,Сорск,Хакасия
886,Сортавала,Карелия
887,Сосенский,Калужская область
888,Сосновка,Кировская область
889,Сосновоборск,Красноярский край
890,Сосновый Бор,Ленинградская область
891,Сосногорск,Коми
892,Сочи,Краснодарский край
893,Спас-Деменск,Калужская область
894,Спас-Клепики,Рязанская область
895,Спасск,Пензенская область
896,Спасск-Дальний,Приморский край
897,Спасск-Рязанский,Рязанская область
898,Среднеколымск,Якутия
899,Среднеуральск,Свердловская область
900,Сретенск,Забайкальский край
901,Ставрополь,Ставропольский край
902,Старая Купавна,Московская область
903,Старая Русса,Новгородская область
904,Старица,Тверская область
905,Стародуб,Брянская область
906,Старый Оскол,Белгородская область
907,Стерлитамак,Башкортостан
908,Стрежевой,Томская область
909,Строитель,Белгородская область
910,Струнино,Владимирская область
911,Ступино,Московская область
912,Суворов,Тульская область
913,Суджа,Курская область
914,Судогда,Владимирская область
915,Суздаль,Владимирская область
916,Сунжа,Ингушетия
917,Суоярви,Карелия
918,Сураж,Брянская область
919,Сургут,Ханты-Мансийский АО
920,Суровикино,Волгоградская область
921,Сурск,Пензенская область
922,Сусуман,Магаданская область
923,Сухиничи,Калужская область
924,Сухой Лог,Свердловская область
925,Сызрань,Самарская область
926,Сыктывкар,Коми
